flow_duration_ms,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,packet_length_mean,packet_length_std,iat_mean_ms,iat_std_ms,fwd_bwd_byte_ratio,active_flows_count,unique_dst_ports,ttl_mean,ttl_variance,tcp_win_mean,tcp_win_min,flag_syn_ratio,flag_ack_ratio,flag_fin_ratio,flag_rst_ratio,fragment_flag_count,retransmission_count,infil_label,stage_label
0.805672,9.92422,9.92422,4.6322775,4.6322775,-0.15441905,12.40623,-0.07616061,0.66666514,0.0,0.3,1.5,-0.4181246,0.27455038,-0.29221392,0.9079602,-0.05043341,0.34566507,0.47440273,-0.15584415,0.0,0.6,1.0,3
0.4810233,-0.18262151,-0.1826215,-0.11616625,-0.11616622,0.16591093,-0.04429917,3.326751,0.84836876,0.0,-0.17857143,0.42307693,-0.16366206,0.15336353,-0.17521231,0.0,0.38455513,-0.1130058,0.50565267,1.0032468,0.0,0.2,1.0,3
0.9914973,0.4075512,0.4075512,0.046371073,0.046371106,-0.26383674,0.08255689,1.3426261,0.9208764,0.0,-0.06428572,1.0,-0.3539981,0.6588561,-0.34953165,0.0,-0.004929525,0.36865613,1.2939515,0.8667122,0.0,3.1,1.0,3
1.2739266,0.20832774,0.20832777,0.038229704,0.03822972,-0.1077023,0.24827,2.2500339,0.92502886,0.0,0.12857144,1.1923077,-0.42060724,0.21725126,-0.29208532,0.0,0.0,0.29006863,0.9744027,0.4061393,0.0,0.5,1.0,3
0.8063417,0.23082073,0.23082073,0.048232686,0.04823271,-0.11081193,0.11224579,1.5048298,0.94560724,0.0,-0.071428575,0.65384614,0.5707844,-0.5706739,0.5757773,9.887127,0.5122978,-0.8452698,-0.5255973,-0.15584415,0.0,-0.2,1.0,3
1.1913133,0.8515196,0.85151964,1.2094365,1.2094365,0.80475473,1.446027,0.9471949,0.7904574,0.0,0.35714287,0.6923077,0.5686938,-0.8977627,0.56614107,9.877954,-0.45390105,0.7348404,-0.5255973,-0.15584415,0.0,0.0,1.0,3
0.94101137,0.4520016,0.45200163,0.25684434,0.2568444,0.042158183,-0.014397431,1.2108461,0.48456526,0.0,0.8,2.2307692,0.7921246,-0.9225099,0.5730102,9.874689,0.4539011,-0.26589608,-0.5255973,-0.15584415,0.0,-0.1,1.0,3
0.34576088,2.1507564,2.1507566,5.3903627,5.3903627,2.2122054,29.834412,0.07773201,1.1017243,0.0,-0.39285713,-0.03846154,0.3551936,-0.32418784,-0.024157073,0.0,0.25216728,-0.04351028,-0.5255973,1.5301063,0.0,0.1,1.0,3
0.8858755,0.100147255,0.1001473,0.024971617,0.024971642,0.004906626,0.101202756,2.081866,0.82249147,0.0,0.092857145,0.3846154,-0.39362574,0.20423172,-0.24195497,0.0,-0.18846183,0.5709771,0.92177117,0.16951469,0.0,0.7,1.0,3
1.8545818,0.165484,0.16548401,0.15268777,0.1526878,0.21701518,-0.012373885,3.3449764,0.87844694,0.0,0.5,1.3076923,-0.19517131,0.061994735,0.0840638,0.0,-0.14354134,0.2045356,1.1667104,1.7462537,0.0,-0.3,1.0,3
0.79028517,0.39094922,0.3909493,0.5408742,0.54087424,0.5917837,1.5651076,1.1477846,0.8799349,0.0,-0.007142857,0.3846154,0.7010975,-0.9082914,0.5678455,9.855566,0.08405581,0.14181139,-0.5255973,-0.15584415,0.0,-0.2,1.0,3
